Modules	H2	H3	H4	J2	J3	J4	J5	J6	L1	L2	L3	L4	L5	L6	M1	M2	M3	M4	M5	M6	N1	N2	N3	N4	N5	N6	O1	O2	O3	O4	O6	R1	R2	R3	R4	R5	R6	S1	S2	S4	S5	T1	T2	T3	T4	T5	V1	V2	V3	V4	V5	V6	Z2	Z3	Z4	Z5
M00011_Citrate cycle - second carbon oxidation	20367.14	14501.46	19965.8	12538.49	12798.25	17588.09	14240.27	14853.46	31027.11	27346.54	16775.09	32506.16	23669.76	28808.1	21072.78	27257.3	21908.24	21851.74	21406.05	23419.77	17692.48	23051.55	15524.51	14952.31	12005.83	15735.01	34093.81	33428.8	27758.99	21882.94	23676.12	15546.08	19634.38	21534.09	11268.17	22072.09	9881.71	11674.44	14993.37	13211.72	14396.31	23749.53	27260.43	27138.44	27112.92	24430.24	20883.9	20972.39	26224.99	19407.82	24346.71	26620.97	25842.86	27893.59	26457	26120.13
M00012_Glyoxylate cycle	6943.53	4617.31	6613.99	3901.48	3895.81	3655.27	3676.74	5232.16	12460.01	12009.18	6256.9	10072.28	9490.58000000001	9625.39	6495.01	8735.73	7023.74	5852.79	5887.02	6831.01	4156.19	7957.76	3791.04	3105.3	4944.14	4909.22	10362.61	9819.68	8218.72	6305.12	7756.98	5073.25	6023	6130.7	3528.31	6438.52	3258.82	4174.14	6057.27	4580.51	5606.25	7525.73	6601.19	8799.18	6898.38	6086.32	7641.23	6803.06	7632.92	7187.72	6890.8	8426.58	8161.72000000001	7433.45	6896.5	7049.17
M00013_Malonate semialdehyde pathway	207.35	163.01	153.8	30	20.16	10.93	68.66	7.82	0.32	0	0	0.38	0.44	0	275.16	570.49	315.66	449.45	392.88	512.39	50.16	168.92	59.64	69.18	72.5	130.28	119.32	60.68	26.3	25.34	53.11	3.92	17.31	14.1	6.26	12.32	0.96	15.2	15.66	20.46	8.69	78.17	31.15	47.84	43.52	21.6	65.63	78.08	47.52	52.44	73.62	127.46	85.77	66.96	158.49	145.39
M00014_Glucuronate pathway	11599.07	4837.7	11530.53	5543.6	5800.78	5562.71	5226.79	7440.39	15394.82	16231.31	6672.11	12364.56	11553.51	9842.78	10064.78	16627.34	11300.64	6257.15	6593.69	7803.25	4793.59	13806.61	4425.08	3404.21	6779.77	5149.16	11021.01	10382.04	10766.32	7871.39	10322.23	6677.08	7360.09	9284.32	6299.44	7843.91	5701.15	6691.84	10203.49	7567.52	7934.24	11951.39	10228.12	14053.92	11999.42	9676.89	10362.07	11914.01	10683.36	9420.93	10766.78	16558.9	13494.32	11677.68	11975.87	11344.78
M00015_Proline biosynthesis	6243.64	4534.35	5911.69	7325.83	9092.26	8358	6509.75	8651.89	9838.75	9127.23	5211.69	8970.47	7978.85	8822.11	5817.36	7350.77	6745.27	5289.36	5262.23	6139.59	5681.64	6790.09	5580.86	4089.02	8444.91	5538.7	8984.62	8361.79	7467.7	5523.61	6619.08	4656.39	5471.5	5598.36	3647.23	5694.5	3422.09	4001.13	5260.6	4688.42	4428.67999999999	7629.85	7890.69	7558.7	8475.43	7416.19	7797.84	6798.63	7366.79	7019.71	6826.49	8426.33	7913.67	8030.11	7538.36	6990.3
M00016_Lysine biosynthesis, from aspartate	23255.04	13221.48	21789.8	24183.31	31623.44	31670.22	24098.87	27631.24	34771.26	36563.55	17481.16	26486.86	27988.04	23684.47	20442.51	30769.86	24038.78	16406.96	16686.25	20138.17	17424.95	26242.81	20264.72	16008.91	26751.82	17538.57	26959.71	24501.63	21915.01	16766.58	23251.48	15995.46	17481.23	20146.2	12645.88	18570.45	11753.84	15065.97	22107.54	16564.41	17869.22	30182.49	28943.19	31813.34	33471.09	27301.08	26999.88	26242.46	25348.01	23793.83	24794.07	34146.86	31959.53	29296.87	27527.35	25733.19
M00017_Methionine biosynthesis	12934.49	10600.38	12154.64	18683.18	23305.73	21536.96	16889.13	21508.84	19765.12	18449.08	10745.09	16743.17	15730.34	16855.97	12916.6	18947.26	15271.5	10160.91	10320.44	12045.74	13523.74	14295.02	14200.91	10755.28	21407.95	13402.21	16623.66	15518.8	13808.32	10338.61	12725.53	9577.5	10901.45	10467.08	7579.92	10863.39	7191.41	8934.67	10742.02	9815.7	9320.86999999999	15572.16	14990.9	15821.06	16256.94	14254.49	17591.53	15160.78	15097.16	15888.1	15009.33	18854.11	16409.48	16595.31	16705.07	14743.67
M00018_Threonine biosynthesis	10006.5	8007.58	9439.9	17869.6	22542.72	20689.58	16432.7	18197.57	16678.64	15624.4	8994.45	15883.86	13646.09	15836.58	10461.1	14624.17	12600.94	8480.8	8579.39	10147.64	10778.24	10877.11	12794.71	9619.02	18731.18	10804.86	14803.62	13779.09	13510.74	9578.68	11291.74	8016.24	9068.04	8771.85	6401.26	9136.09	5959.11	7046.67	8555.73	7697.05	7589.82	13073.96	13382.09	12745.69	14282.82	12548.8	13863.78	11680.82	12257.39	12345.69	11958.07	14179.55	13388.9	13929.64	13652.48	11896.61
M00019_Valine/isoleucine biosynthesis	15762.77	9023.91	14681.92	14606.49	18271.01	17044.19	12638.89	17594.82	20742.71	19857.06	10391.44	16892.53	16249.94	16714.63	13149.1	21150	16111.27	10794.35	10919.23	13360.53	11806.5	17668.47	11423.43	7500.08	17120.95	11261.41	16858.86	15651.37	13610.43	9998.83	12931.51	9943.79	11280.02	11202.84	7957.32999999999	11153.69	7936.69	9021	12270.53	10880.5	9738.7	16553.46	16255.09	18083.83	18884.09	15102.69	16982.89	15289.43	14739.59	15233.18	14612.51	19943.02	17365.77	17440.19	16585.72	14830.49
M00020_Serine biosynthesis	6630.16	4609.93	6260.45	5226.79	6088.94	5549.81	4497.59	7427.87	11101.55	10461.3	6192.17	9898	9615.66000000001	10426	6392.91	9155.25999999999	7383.91	5181.84	5218.81	6318.53	4382.47	7343.51	4283.31	3072.88	6991.7	4996.17	9674.88	9074.25	8124.81	6061.68	7202.92	5065.09	5927.47	7004.68	3223.13	6606.77	3073.12	4093.18	6178.23	4721.89	5022.05	7022.44	6135.13	7554.47	6483.18	5919.09	8684.6	8405.02	8448.97	7660.72	7970.41	11102.65	9246.25000000001	7997.57	8281	8143.29
M00021_Cysteine biosynthesis, from serine	4968.99	4684.85	4911.13	9640.32	11624.02	10687.26	8978.44	8536.99	9452.44	8853.71	4488.57	7257.12	7442.87	6715.67	5890.72	8247.36	6677.39	4820.64	4900.86	5716.93	5839.48	5496.38	6527.01	4425.72	8873.13	5709.26	7594.29	7308.53	5892.75	4905.46	6456.47	3376.36	5066.75	4842.24	2653.51	4849.65	2658.77	3308.31	4496.5	4063.39	3803.58	6617.76	5703.14	6434.6	5802.92	5460.78	6529.55	5907.11	6067.85	6028.92	5831.22	7007.25	7370.17	6413.07	6950.2	6904.25
M00022_Shikimate pathway	17277.55	11811.84	16157.85	21267.28	28013.74	28263.6	21475.41	25636.86	23444.44	22418.49	12678.75	23450.92	19843.17	23884.81	15346.27	22214.12	18683.59	13027.89	13012.95	15430.21	15027.03	18983.94	17407.84	12821.75	24412.65	15430.25	21586.66	19892.65	19348.92	13247.16	15956.95	12355.17	12886.27	12866.87	10139.59	13258.68	9954.77	11071.49	14047.57	13109.59	11047.48	18860.02	18700.39	19798.23	21288.53	17733.9	20625.17	17731.07	17735.87	18387.67	17545.75	22084.51	19686.63	20203.04	18870.06	16837.98
M00023_Tryptophan biosynthesis	15825.84	10636.13	14947.11	18383.4	22093.74	18657.56	15013.4	20073.55	22009.22	19654.06	11418.81	20383.57	17072.55	19396.8	13006.41	19355.42	14882.49	13112.27	13122.47	14602.44	12370.03	17629.45	11623.22	6510.66	20352.24	12129.81	20939.27	20097.78	16239.17	12074.44	14040.79	11220.82	12022.01	12831.19	8372.71999999999	13430.95	8001.6	10138.37	12879.53	11840.11	11120.1	15223.2	14613.42	17902.13	14864.44	13758.75	17928.54	15644.62	16760.28	16811.99	15884.44	20660.02	18533.67	16954.65	16873.92	16681.52
M00024_Phenylalanine biosynthesis	3419.93	2569.37	3199.24	6904.36	8982.51	8620.91	6612.5	6000.49	6507.76	6086.37	3489.81	8074.76	5768.2	8049.76	3776.57	4848.42	4517.89	2915.7	3013.51	3485.89	4250.52	3751.52	5143.67	3617.4	6397.02	3735.91	7090.02	6524.05	6940.18	4539.32	4984.9	2753.02	3497.19	3384.55	1880.7	3634.32	1671.01	2300.88	3090.27	2541.46	2812.19	5960.27	6772.86	5426.12	7475.02	6331.91	5218.97	4336.85	4811.51	4556.22	4607.82	5126.6	5676.1	6328.29	5697.42	4912.57
M00025_Tyrosine biosynthesis, from chorismate	4865.98	2623.9	4361.66	8886.55	11573.59	10877.82	8533.83	7250.48	6781.34	7361.81	3992.63	8523.19	6639.97	8384.93	4770.64	6688.93	5970.35	3225.07	3336.92	3997.68	5132.64	5211.88	6276.4	4209.09	7923.26	4250.78	7716.92	6775.96	7421.5	4882.62	5617.69	3323.95	4102.88	3983.73	2517.84	4081.26	2327.25	3126.8	4307.42	3689.03	3535.77	6981.71	7428.58	6624.8	8482.01	7102.43	6443.81	5641.57	5713.33	5611.43	5643.26	6820.55	6810.83	7269.72	6612.47	5637.92
M00026_Histidine biosynthesis	20910.16	14036.5	19471.81	28177.6	34481.41	31143.38	23606.07	29571.36	34510.39	33087.3	16766.13	31822.33	27457.14	32040.92	21065.81	28507.78	24977.85	17779.23	17762.12	21399.62	18597.84	22470.93	20386.69	12411.21	29487.47	18460.02	29615.62	26893.87	26383.79	18316.03	23177.5	14763.03	18331.89	17133.56	11259.04	18347.85	10832.13	12693.62	16902.33	14882.61	13961.47	22079.55	20062.12	23617.75	21063.17	19272.97	26461.1	21933.37	23408.02	23593.53	22140	26516.17	25494.08	23333.63	23565.61	22488.93
M00027_GABA (gamma-Aminobutyrate) shunt	1076.56	1841.53	1011.19	2486.01	3563.43	4051.22	2424.66	3555.26	2042.11	1448.73	1265.64	2357.3	1568.58	2720.73	955.37	1028.75	814.28	1759.3	1670.71	1952.12	1660.56	1074.84	2430.62	1808.46	3208.05	2189.84	2335.53	2332.48	1920.01	1436.51	1198.61	1026.57	1139.67	1027.12	650.23	1281.25	669.43	677.34	694.17	666.94	790.28	864.18	756.5	786.61	555.08	696.36	1201.48	938.88	1296.85	1283.36	1030.61	1054.63	673.4	864.81	772.86	844.9
M00028_Ornithine biosynthesis	8961.95	6083.48	8284.37	9507.08	11617.57	9854.39	7817.5	11038.13	13678.07	12877.18	6876.83	13022.91	10932.31	12731.62	7476.51	11508.46	9086.24	7747.14	7689.22	8846.62	6969.17	9733.54	6469.3	3789.16	11114.06	7102.58	12778.95	11727.88	10466.05	7343.46	8848.26	6197.72	6759.93	7025.93	4712.46	7372.38	4517.54	5541.38	7512.97	6651.21	6222.44	9002.69	8196.28	10057.23	8326.37	7822.18	10514.2	9109.15	9593.99	9549.74	9152.09	11354.88	11179.21	9461.37	9534.85	9687.05
M00029_Urea cycle	6037.11	4225.77	5696.59	8957.95	12058.42	11903.77	8040.44	10368.12	10601.6	9134.21	4568.29	8427.05	7521.15	8619.55	7061.51	10703.11	8358.26	5680.58	5738.36	6677.76	5784.84	6708.44	7131.43	5483.72	10096.33	5889.63	7862.42	7419.44	6820.28	4712.36	6096.18	4040.04	4695.29	4814.71	2748.35	5002.45	2709.82	3493.85	4787.54	4274.29	3687.64	6799.28	6353.92	6504.28	6763.25	5850.86	8040.55	6603.62	6961.41	6753.87	7036.32	8673.33	7191.12	6657.72	6906.82	6392.84
M00030_Lysine biosynthesis, from 2-oxoglutarate	1119.72	464.97	1154.68	336.64	70.98	37.48	337.89	63.64	1802.3	1346.98	1114.34	2250	1541.34	1877.09	1400.37	1716.13	1372.73	1081.21	1085.93	1188.45	428	1202.43	228.65	185.37	49.04	379.44	2436.71	2398.19	2106.14	1633.23	1576.11	1036.33	1189.5	1142.98	1005.44	1208.88	800.82	1103.6	991.45	1251.1	1000.12	1144.24	1002.78	1044.73	846.08	972.52	1677.67	1684.72	1708.82	1691.48	1712.48	2108.11	1215.74	1174.97	1415.33	1372.71
M00031_Lysine biosynthesis, from 2-aminoadipate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00032_Lysine degradation	2411.4	1733.15	2279.55	973.57	680.55	650.42	1077.4	785.11	3290.91	2414.49	1813.97	2822.94	2358.61	2860.72	2351.31	3044.05	2212.1	3481.82	3275.98	3947.63	1345.55	2424.48	1267.8	946.57	945.03	1613.45	2940.47	3104.57	2491.78	2142.73	2061.85	1769.08	1868.55	1960.99	1538.31	2057.8	1542.79	1596.62	1699.91	2157.98	1343.1	1718.64	1308.12	1455.97	1062.19	1238.28	2337.88	2225.32	2693.37	2229.73	2631.8	2701.08	1796.97	1804.98	2034.97	2141.76
M00033_Ectoine biosynthesis	5306.18	3784.68	5060.57	7275.73	9148.06	8844.73	7072.52	7387.26	8869.15	8425.56	4748.74	6999.7	6971.89	6490.59	4885.92	6539.3	5650.45	4208.87	4276.77	4895.21	4968.37	5838.57	5641.81	4515.72	7386.46	4953.59	7053.86	6705.33	6028.47	4711.89	5723.47	4090.95	4736.9	4810.62	3266.67	4791.05	2902.27	3859.48	4825.68	4214.45	4317.83	6946.68	6586.67	6834.29	7122.06	6284.55	6874.35	6223.35	6456.77	6309.66	6185.21	7526.36	7102.72	7149.8	6885.43	6278.5
M00034_Methionine salvage pathway	5923.9	3907.47	5617.79	6050.36	9435.49	12383.73	6562.29	8263.38	12028.6	12931.98	5811.25	12961.45	10687.4	12906.76	7226.53	11314.3	8968.6	5875.87	6000.81	7722.39	6987.74	6626.37	7559.82	6440.66	6814.02	5366.66	10700.17	9300.07	10855.37	6682.51	8736.52	5065.11	4772.78	4664.8	4217.19	5167.95	4332.05	4512.31	6349.46	4742.24	5380.22	9980.55	9251.37	10074.36	10394.88	8912	8636.79	6383.5	6646.31	7392.42	6656.82	7929.05	11679.7	9953.59	9630.94	9231.29
M00035_Methionine degradation	6845.31	5469.11	6446.06	5096.4	4867.64	5705.62	5277	5680.32	12280.39	12235.28	5719.4	9787	9470.3	8320.69	7946.22	11895.87	9655.8	6241.93	6294.59	7410.55	6577.49	7002.52	5080.43	3991.76	4664.71	5746.87	9774.87	9105.62	7843.38	5964.43	8067.79	4729.36	6791.78	5753.47	3842.21	5671.9	3197.84	4307.38	6536.3	5261.46	5509.97	8337.07	5849.74	7020.27	6472.91	6009.4	8072.66	7286.57	7370.29	7292.63	7348.91	8953.51	9487.61000000001	7108.32	7959.74	8059.29
M00036_Leucine degradation	6682.81	4723.96	6210.87	5784.12	6821.45	7074.3	5879.81	7734.99	10588.72	10240.24	4494.1	7209.58	7425.24	6420.71	5065.97	7310.18	5684.54	6960.63	6631.84	7963.72	5366.92	7241.69	4949.11	3974.27	6829.96	5389.72	7323.4	6932.07	5607.42	4601.49	6121.14	3802.58	4800.43	5660.3	2447.5	5262.72	2330.73	3025.72	5055.94	3890.63	3973.11	6989.46	6260.85	7197.08	7117.34	5827.09	6025.19	6045.59	6575.35	5685.44	5919.55	7819.69	6908.71	6196.54	5616.82	5986.7
M00037_Melatonin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00038_Tryptophan metabolism	98.75	0.64	66.56	0.98	0.14	0.98	0.48	0.73	699.24	1026.15	158.94	237.82	510.9	54.43	733.29	1484.55	833.62	610.47	604.93	787.49	0.14	66.6	0.83	0.18	1.84	4.08	230.57	141.26	155.69	96.17	481.51	20.24	54.16	39.19	21.14	52.8	7.68	99.34	383.18	81.3	348.1	588.6	283.73	449.64	283.89	317.71	212.21	146.24	88.13	176.88	125.42	261.02	895.01	285.84	522.19	595.86
M00039_Monolignol biosynthesis	0	0	0	0	0	0	0	0	0	0.29	0	0	0.44	5.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	3.92	0.3	0.96	1.11	0.29	0	0	0	0	0.26	442.79	734.92	267.13	947.6	652.96	0	0	0	0	0	0	78.18	364.58	207.32	36.15
M00040_Tyrosine biosynthesis, from prephanate	90.21	172.28	53.81	192.6	404.79	889.33	288.61	387	49.64	83.34	115.48	1142.68	322.1	1204.91	323.5	422.2	362.79	476.87	453.79	571.54	572.56	61.09	630.59	736.26	221.63	333.38	672.59	584.72	1046.27	478.97	349.81	113.01	95.7	86.18	69.49	124.66	102.83	47.57	48.33	38.52	26.32	650.22	1037.47	491.25	1173.24	939.24	215.65	124.56	236.1	62.74	260.05	9.23	498.32	907.17	695.93	428.72
M00042_Catecholamine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00043_Thyroid hormone biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00044_Tyrosine degradation	0.04	65.28	0	7.18	8.51	5.7	7.4	1.61	0	0	0	0	0	0	0.05	0.04	0.02	0.02	0	0	10.71	0	26.44	4.98	28.54	18.92	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0.04	0.07	0	0	0	0	0	0	0	0	0	0.07	0.21	0.09	0.14
M00045_Histidine degradation	1879.67	1881.13	2074.1	1372.47	1213.04	2498.96	1883	1066.32	4456.68	3374.29	3361.65	3543.87	3601.52	2171.33	4415.76	7685.23	4614.66	2264.86	2522.88	2639.01	1815.67	2161.63	2234.39	2664.98	567.53	2084.98	5736.04	6161.58	2900.08	3557.65	3285.33	2388.62	3847.63	3714.96	1690.35	3990.07	802.99	2571.17	2377.26	2668.73	3266.59	5075.02	6388.11	4474.21	6560.15	5868.49	5004.97	5095.29	5421.62	4914.32	5326.51	6759.48	4884.06	6157.29	6822.19	5607.42
M00046_Pyrimidine degradation	1397.41	666.94	1461.73	2556.65	3270.99	3866.61	2256.62	2243.72	4544.48	5622.04	1291.47	1652.51	3083.32	859.05	1817.72	3517.29	2366.65	1355.05	1381.94	1658.6	1659.08	1715.56	3041.9	2351.24	2150.82	1616.48	1587.26	1279.02	1017.74	739.54	2583.8	1119.88	837.93	1661.62	911.78	1140.96	1000.68	1192.14	2928.36	1160.04	2210.41	4485.25	2738.39	3335.26	3355.7	2868.78	1822.33	2081.53	1623.43	1436.28	1715.23	3157.98	5570.07	3153.27	3254.96	3714.68
M00048_Inosine monophosphate biosynthesis	22288.57	17905.64	20875.79	24213.89	30076.46	31124.4	25185.67	32201.22	34992.43	32850.21	19677.02	33081.3	28772.93	31692.24	22982.39	32202.28	26368.95	19729.82	19808.91	23005.04	21460.99	24134.5	20723.54	16875.22	29006.84	21334.35	34581.69	32518.24	27606.62	21061.57	24623.95	16858.15	20961.69	20184.32	12514.94	21424.3	11226.06	14861.55	18675.65	16954.71	17003.03	27110.11	28449.25	28233.48	30165.15	26797.95	28569.72	25094.27	27257.47	26432.19	25802.55	30824.56	28918.96	29626.52	28754.76	26275.63
M00049_Adenine ribonucleotide biosynthesis	9106.81	7009.3	8580.49	14295.74	18624.1	17779.59	13677.32	14861.14	15462.18	13947.2	8299.55	14470.43	12531.5	14506.69	8956.13	11857.36	10282.76	8188.54	8178.72	9530.66	9578.82	9860.93	11059.04	8322.13	14926.16	9441.7	14516	13585.88	12007.6	8763.6	10197.69	6972.53	8206.26	7787.28	5127.52	8461.19	4860.13	6054.88	7514.85	6927.12	6655.20999999999	11095.97	11660.2	11252.43	12461.69	10956.92	11430.12	9508.1	10495.02	10547.53	9815.53	11704.02	11726.79	12318.74	11597.78	10566.99
M00050_Guanine ribonucleotide biosynthesis IMP => GDP	11130.04	7728.45	10538.79	16413.51	21077.23	19749.74	15465.89	16055.27	19237.3	17422.14	9531.36	16106.48	14816.44	15250.83	10890.47	15315.05	12555.54	9822.9	9860.36	11504.61	10431.39	12255.73	12125.74	8847.29	16535.98	10217.63	16661.38	15779.33	13209.64	9932.65	11983.13	7697.96	9534.28	9176.8	5600.53	9784.68	5083.28	6986.78	9272.8	8003.62	8262.46	13643.22	13329.1	13708.19	14272.43	12560.35	13255.15	11382.01	12344.11	12286.15	11661.26	14333.07	14407.22	14542.04	13803.65	12843.78
M00051_Uridine monophosphate biosynthesis	21351.7	14342.9	20031.86	20989.2	25952.27	26200.75	21057	25768.77	34967.4	34163.23	16655.92	27871.32	27408.36	25355.07	20191.99	28782.35	23350.75	16691.4	16950.75	19808.52	17229.23	23797.92	17314.45	13525.51	23816.63	17220.36	28971.74	27065.24	22501.69	17066.01	22653.43	13811.54	17172.46	17034.41	10881.53	17368.52	9763.91	13068.68	18710.12	15221.39	15896.38	27533.66	26457.74	28420.4	29737.74	25045.41	24567.61	21791.71	22626.22	22620.65	21432.81	27624.92	28795.3	27077.78	25601.74	24166.56
